Category: All categories,
,
Week,covid: (United States)
1,1+C4:C43/5/2020
0,1/12/2020
0,1/19/2020
1,1/26/2020
0,2/2/2020
4,2/9/2020
5,2/16/2020
8,2/23/2020
15,3/1/2020
30,3/8/2020
79,3/15/2020
92,3/22/2020
96,3/29/2020
84,4/5/2020
67,4/12/2020
62,4/19/2020
56,4/26/2020
55,5/3/2020
54,5/10/2020
51,5/17/2020
47,5/24/2020
38,5/31/2020
44,6/7/2020
52,6/14/2020
66,6/21/2020
79,6/28/2020
79,7/5/2020
83,7/12/2020
70,7/19/2020
69,7/26/2020
62,8/2/2020
57,8/9/2020
51,8/16/2020
45,8/23/2020
49,8/30/2020
43,9/6/2020
40,9/13/2020
41,9/20/2020
54,9/27/2020
55,10/4/2020
48,10/11/2020
51,10/18/2020
59,10/25/2020
49,11/1/2020
79,11/8/2020
100,11/15/2020
80,11/22/2020
80,11/29/2020
87,12/6/2020
84,12/13/2020
83,12/20/2020
88,12/27/2020
