Category: All categories,
,
Week,domestic violence: (United States)
72,05/01/2020
76,12/01/2020
68,19/01/2020
80,26/01/2020
84,02/02/2020
81,09/02/2020
73,16/02/2020
82,23/02/2020
74,01/03/2020
73,08/03/2020
52,15/03/2020
64,22/03/2020
75,29/03/2020
84,05/04/2020
80,12/04/2020
80,19/04/2020
80,26/04/2020
71,03/05/2020
69,10/05/2020
72,17/05/2020
70,24/05/2020
76,31/05/2020
82,07/06/2020
71,14/06/2020
71,21/06/2020
64,28/06/2020
60,05/07/2020
67,12/07/2020
72,19/07/2020
80,26/07/2020
69,02/08/2020
66,09/08/2020
75,16/08/2020
78,23/08/2020
64,30/08/2020
74,06/09/2020
72,13/09/2020
80,20/09/2020
98,27/09/2020
92,04/10/2020
88,11/10/2020
100,18/10/2020
90,25/10/2020
62,01/11/2020
72,08/11/2020
75,15/11/2020
61,22/11/2020
77,29/11/2020
61,06/12/2020
64,13/12/2020
54,20/12/2020
56,27/12/2020
60,03/01/2021
57,10/01/2021
62,17/01/2021
79,24/01/2021
65,31/01/2021
70,07/02/2021
59,14/02/2021
74,21/02/2021
69,28/02/2021
69,07/03/2021
62,14/03/2021
69,21/03/2021
72,28/03/2021
