Category: All categories,
,
Week,lockdown: (United States)
1,05/01/2020
1,12/01/2020
1,19/01/2020
2,26/01/2020
1,02/02/2020
1,09/02/2020
1,16/02/2020
2,23/02/2020
2,01/03/2020
14,08/03/2020
100,15/03/2020
80,22/03/2020
34,29/03/2020
17,05/04/2020
16,12/04/2020
15,19/04/2020
16,26/04/2020
12,03/05/2020
15,10/05/2020
11,17/05/2020
8,24/05/2020
8,31/05/2020
4,07/06/2020
5,14/06/2020
5,21/06/2020
6,28/06/2020
5,05/07/2020
8,12/07/2020
4,19/07/2020
3,26/07/2020
3,02/08/2020
3,09/08/2020
3,16/08/2020
3,23/08/2020
3,30/08/2020
3,06/09/2020
3,13/09/2020
3,20/09/2020
3,27/09/2020
3,04/10/2020
4,11/10/2020
3,18/10/2020
7,25/10/2020
7,01/11/2020
15,08/11/2020
30,15/11/2020
10,22/11/2020
13,29/11/2020
14,06/12/2020
6,13/12/2020
6,20/12/2020
5,27/12/2020
8,03/01/2021
6,10/01/2021
5,17/01/2021
4,24/01/2021
3,31/01/2021
3,07/02/2021
3,14/02/2021
3,21/02/2021
3,28/02/2021
3,07/03/2021
4,14/03/2021
3,21/03/2021
4,28/03/2021
