Category: All categories,
,
Week,women homicide: (United States)
15,05/01/2020
73,12/01/2020
77,19/01/2020
44,26/01/2020
60,02/02/2020
61,09/02/2020
30,16/02/2020
29,23/02/2020
43,01/03/2020
14,08/03/2020
0,15/03/2020
0,22/03/2020
14,29/03/2020
14,05/04/2020
13,12/04/2020
13,19/04/2020
13,26/04/2020
26,03/05/2020
27,10/05/2020
41,17/05/2020
0,24/05/2020
54,31/05/2020
0,07/06/2020
14,14/06/2020
14,21/06/2020
45,28/06/2020
0,05/07/2020
45,12/07/2020
45,19/07/2020
61,26/07/2020
30,02/08/2020
30,09/08/2020
0,16/08/2020
42,23/08/2020
28,30/08/2020
14,06/09/2020
14,13/09/2020
14,20/09/2020
45,27/09/2020
46,04/10/2020
100,11/10/2020
85,18/10/2020
0,25/10/2020
0,01/11/2020
80,08/11/2020
83,15/11/2020
17,22/11/2020
48,29/11/2020
16,06/12/2020
0,13/12/2020
18,20/12/2020
17,27/12/2020
31,03/01/2021
16,10/01/2021
16,17/01/2021
0,24/01/2021
16,31/01/2021
48,07/02/2021
33,14/02/2021
33,21/02/2021
16,28/02/2021
49,07/03/2021
30,14/03/2021
32,21/03/2021
38,28/03/2021
